Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,JINDALSTEL.NS,JSWSTEEL.NS,RATNAMANI.NS,SAIL.NS,TATASTEEL.NS,JINDALSTEL.NS,JSWSTEEL.NS,RATNAMANI.NS,SAIL.NS,TATASTEEL.NS,JINDALSTEL.NS,JSWSTEEL.NS,RATNAMANI.NS,SAIL.NS,TATASTEEL.NS,JINDALSTEL.NS,JSWSTEEL.NS,RATNAMANI.NS,SAIL.NS,TATASTEEL.NS,JINDALSTEL.NS,JSWSTEEL.NS,RATNAMANI.NS,SAIL.NS,TATASTEEL.NS,JINDALSTEL.NS,JSWSTEEL.NS,RATNAMANI.NS,SAIL.NS,TATASTEEL.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,693.8648071289062,86.39000701904297,59.26260757446289,182.2008056640625,42.090145111083984,712.2999877929688,102.29499816894531,71.0,247.60000610351562,60.37968444824219,714.75,102.83999633789062,72.0,249.39999389648438,60.641685485839844,698.5,101.0199966430664,70.66666412353516,240.10000610351562,58.774322509765625,710.5499877929688,102.0,71.36666870117188,240.6999969482422,59.26021957397461,2054651,6300240,143523.0,41185530,58460615
2010-01-05,708.6227416992188,95.84439849853516,60.98761749267578,187.3151092529297,43.10961151123047,727.4500122070312,113.48999786376953,73.06666564941406,254.5500030517578,61.84213638305664,733.25,114.80000305175781,84.26666259765625,257.0,62.385196685791016,715.3499755859375,102.68000030517578,71.66666412353516,249.1999969482422,60.836997985839844,718.0,106.97000122070312,84.26666259765625,252.0,60.836997985839844,4020799,37729180,810028.0,42852660,81889733
2010-01-06,705.651611328125,97.03094482421875,60.23640060424805,182.7527618408203,42.641380310058594,724.4000244140625,114.8949966430664,72.16666412353516,248.35000610351562,61.17045593261719,736.5,115.54000091552734,74.30000305175781,267.0,62.880619049072266,721.0999755859375,111.62000274658203,71.76666259765625,247.14999389648438,60.68932342529297,732.0,114.02999877929688,73.4000015258789,255.5500030517578,62.880619049072266,3035406,32266220,202761.0,49076680,77150753
2010-01-07,702.144775390625,94.96188354492188,59.763431549072266,177.78562927246094,43.15609359741211,720.7999877929688,112.44499969482422,71.5999984741211,241.60000610351562,61.9088249206543,729.7999877929688,115.5,73.26666259765625,253.3000030517578,62.19464874267578,716.0,111.74500274658203,71.16666412353516,240.1999969482422,60.98467254638672,725.5,114.80000305175781,73.26666259765625,250.0,61.441986083984375,1827314,12190810,114912.0,70265120,80144960
2010-01-08,693.1829833984375,94.42138671875,61.65536880493164,175.76199340820312,43.066436767578125,711.5999755859375,111.80500030517578,73.86666870117188,238.85000610351562,61.780208587646484,724.9500122070312,113.7300033569336,75.0,243.60000610351562,63.023529052734375,709.0,110.51000213623047,70.76666259765625,237.25,61.060890197753906,722.0,111.5999984741211,71.5999984741211,242.0,62.023155212402344,1892096,12242440,484588.0,51182970,86063510
2010-01-11,695.2772827148438,96.49888610839844,62.573516845703125,178.153564453125,43.06975555419922,713.75,114.26499938964844,74.96666717529297,242.10000610351562,61.784969329833984,718.8499755859375,115.68000030517578,77.0,244.89999389648438,62.48999786376953,705.4000244140625,112.30000305175781,74.23332977294922,239.0,61.4705696105957,714.7000122070312,113.0,74.33333587646484,239.5,61.927879333496094,2540318,18166970,633796.0,31139410,69701832
2010-01-12,689.8223266601562,95.26168060302734,60.23640060424805,172.22982788085938,41.5455436706543,708.1500244140625,112.80000305175781,72.16666412353516,234.0500030517578,59.59843826293945,719.3499755859375,114.98999786376953,76.0,242.5,61.80878829956055,704.0999755859375,112.0999984741211,71.86666870117188,232.1999969482422,59.43647384643555,712.0,113.5,76.0,242.10000610351562,61.1180534362793,2511399,11942520,234460.0,39314600,71713280
2010-01-13,683.6365356445312,96.40599822998047,60.82068634033203,177.78562927246094,42.45542907714844,701.7999877929688,114.15499877929688,72.86666870117188,241.60000610351562,60.903690338134766,705.3499755859375,114.98999786376953,72.96666717529297,242.8000030517578,61.146636962890625,690.0,105.38500213623047,70.83333587646484,231.0,58.59330368041992,700.0,105.38500213623047,71.33333587646484,232.0,58.59330368041992,3058049,15321820,162357.0,47919890,108267579
2010-01-14,677.3048095703125,99.83052062988281,64.49329376220703,177.23370361328125,43.016632080078125,695.2999877929688,118.20999908447266,77.26666259765625,240.85000610351562,61.7087516784668,708.8499755859375,118.66999816894531,78.63333129882812,244.5,62.04220962524414,692.5999755859375,113.87999725341797,73.33333587646484,240.0,61.12281799316406,705.0999755859375,115.19999694824219,73.33333587646484,242.0,61.42769241333008,2074615,23405760,883494.0,24573375,69719623
2010-01-15,661.1343994140625,99.64048767089844,65.91226196289062,174.6213836669922,42.84727478027344,678.7000122070312,117.98500061035156,78.96666717529297,237.3000030517578,61.46580505371094,698.3499755859375,120.66999816894531,80.66666412353516,242.25,62.01839065551758,675.0,117.11000061035156,77.56666564941406,236.75,60.97514343261719,698.3499755859375,118.3499984741211,78.4000015258789,241.0,61.927879333496094,3247252,20303920,920760.0,16230280,45054843
2010-01-18,647.8377685546875,98.71998596191406,65.91226196289062,172.81851196289062,42.33919906616211,665.0499877929688,116.8949966430664,78.96666717529297,234.85000610351562,60.736961364746094,678.0,117.47000122070312,81.0,237.89999389648438,61.16569137573242,661.0,115.5,78.66666412353516,233.35000610351562,60.09386444091797,671.0,117.0,79.63333129882812,237.5,61.16569137573242,5427132,9536970,408522.0,19375535,62440445
2010-01-19,649.1527709960938,97.55877685546875,63.93683624267578,171.788330078125,42.34915542602539,666.4000244140625,115.5199966430664,76.5999984741211,233.4499969482422,60.751251220703125,680.5,117.98999786376953,80.0,238.35000610351562,61.5086784362793,665.0,114.80999755859375,75.73332977294922,231.6999969482422,60.212955474853516,667.0,117.0,80.0,235.5,60.594051361083984,4558173,10100780,267048.0,16581555,52644632
2010-01-20,659.8682250976562,97.42786407470703,62.68480682373047,175.3572998046875,43.41510772705078,677.4000244140625,115.36499786376953,75.0999984741211,238.3000030517578,62.2803955078125,681.5,117.5,77.26666259765625,239.3000030517578,62.63290786743164,668.25,114.5,74.0,232.10000610351562,60.78459548950195,668.9500122070312,115.30000305175781,77.03333282470703,236.0,60.78459548950195,3631979,13833750,184129.0,21467085,83223827
2010-01-21,653.146728515625,94.97453308105469,63.352561950683594,171.4939727783203,43.03655242919922,670.5,112.45999908447266,75.9000015258789,233.0500030517578,61.737335205078125,683.9000244140625,116.48999786376953,79.53333282470703,241.3000030517578,62.83298110961914,666.0999755859375,112.0,74.53333282470703,231.60000610351562,61.189510345458984,674.1500244140625,115.30000305175781,74.53333282470703,237.8000030517578,61.880245208740234,3791359,10070400,588072.0,25460570,114584655
2010-01-22,657.1405639648438,92.69857025146484,60.792869567871094,166.0117950439453,41.47913360595703,674.5999755859375,109.76499938964844,72.83333587646484,225.60000610351562,59.50316619873047,678.4000244140625,111.4749984741211,75.30000305175781,231.0,61.0799446105957,651.0,106.125,71.66666412353516,223.35000610351562,58.783851623535156,660.0,109.9000015258789,73.46666717529297,228.9499969482422,61.0799446105957,3789327,11203560,254610.0,28134770,92159151
2010-01-25,655.7767944335938,89.08824157714844,59.79123306274414,164.42959594726562,40.50616455078125,673.2000122070312,105.48999786376953,71.63333129882812,223.4499969482422,58.10740661621094,679.7999877929688,110.9000015258789,74.53333282470703,227.0,59.61273193359375,666.6500244140625,104.80000305175781,70.13333129882812,220.0,57.82158660888672,670.0,110.9000015258789,73.30000305175781,222.0,59.069671630859375,1751475,10876540,344890.0,22240045,55929884
